listing_number,id,listing_url,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
143,316854,https://www.airbnb.com/rooms/316854,Beautiful appartment in XV Villa on Via degli Dei,1626964,Federica,2012-01-19,"Florence, Tuscany, Italy",3,Campo di Marte,43.79101,11.29321,Entire home/apt,3,1.0,$71.00,19,49,79,168,9,0,,f,3,1.03
144,316984,https://www.airbnb.com/rooms/316984,Florence Centrally Located Loft,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25259,Entire home/apt,2,1.0,$106.00,6,6,6,210,2,1,,f,11,0.19
145,321323,https://www.airbnb.com/rooms/321323,Art Apartment San Felice,1645859,David,2012-01-24,"Florence, Tuscany, Italy",59,Gavinana Galluzzo,43.75257,11.24481,Entire home/apt,5,2.0,$82.00,0,0,0,0,1,0,,t,29,1.74
146,323655,https://www.airbnb.com/rooms/323655,San Niccolò alle mura di Forte Belvedere,1650543,Sandra,2012-01-25,"Campiglia Marittima, Toscana, Italy",1,Centro Storico,43.76424,11.26129,Entire home/apt,3,1.0,$48.00,0,0,0,166,0,0,,f,1,0.64
147,332488,https://www.airbnb.com/rooms/332488,Luxury Apartment near Duomo WiFi,1286344,Mario,2011-10-13,"San Francisco, California, United States",3,Centro Storico,43.7786,11.25842,Entire home/apt,4,1.0,$210.00,30,60,90,365,1,0,,f,2,0.14
148,336259,https://www.airbnb.com/rooms/336259,Oro 2 bdr with Terrace on Ponte Vecchio,1702993,Marusca,2012-02-05,"Florence, Toscana, Italy",6,Centro Storico,43.7686,11.25324,Entire home/apt,4,2.0,$150.00,0,0,0,205,0,0,,t,5,0.88
149,336260,https://www.airbnb.com/rooms/336260,"Terrace Ponte Vecchio, amazing view!!",1702993,Marusca,2012-02-05,"Florence, Toscana, Italy",6,Centro Storico,43.76752,11.25266,Entire home/apt,4,2.0,$172.00,16,19,23,126,12,1,,t,5,0.88
150,338683,https://www.airbnb.com/rooms/338683,The Hayloft at “ La Federiga”,1720289,Isabella,2012-02-08,"Florence, Toscana, Italy",1,Isolotto Legnaia,43.77016,11.21141,Entire home/apt,3,1.0,$60.00,0,0,0,0,0,0,,f,1,0.18
151,339138,https://www.airbnb.com/rooms/339138,Charming singleroom XIX century apt,1091803,Giuseppe,2011-08-31,"Florence, Toscana, Italy",1,Campo di Marte,43.77893,11.26936,Private room,1,1.0,$52.00,29,59,89,89,1,0,,f,1,0.18
152,341907,https://www.airbnb.com/rooms/341907,Nice Quiet in the Heart of Florence,1734679,Susanna + Sandro,2012-02-11,"Florence, Toscana, Italy",1,Centro Storico,43.76957,11.26455,Entire home/apt,4,2.0,$79.00,0,0,0,0,0,0,,t,1,1.93
153,343773,https://www.airbnb.com/rooms/343773,"Affascinante loft con patio, sospeso tra storia e modernità. ""Little Patio""",1744286,Chiara,2012-02-13,"Florence, Tuscany, Italy",8,Centro Storico,43.77427,11.26205,Entire home/apt,4,1.0,$93.00,23,53,83,228,26,2,,t,1,3.18
154,345815,https://www.airbnb.com/rooms/345815,Apartment with garden and view,1753956,Tommaso,2012-02-15,"Florence, Toscana, Italy",1,Campo di Marte,43.81893,11.28034,Entire home/apt,6,3.0,$150.00,0,0,0,0,0,0,,f,1,0.01
155,346237,https://www.airbnb.com/rooms/346237,Appartamento Uva,1755313,Simone,2012-02-15,"Florence, Tuscany, Italy",3,Campo di Marte,43.77133,11.31963,Entire home/apt,4,1.0,$165.00,25,55,85,324,5,0,,t,5,0.3
156,346238,https://www.airbnb.com/rooms/346238,Appartamento Arance,1755313,Simone,2012-02-15,"Florence, Tuscany, Italy",3,Campo di Marte,43.77119,11.31819,Entire home/apt,2,1.0,$140.00,29,59,89,364,2,0,,t,5,0.32
157,346239,https://www.airbnb.com/rooms/346239,Appartamento Fichi,1755313,Simone,2012-02-15,"Florence, Tuscany, Italy",3,Campo di Marte,43.77149,11.31847,Entire home/apt,4,1.0,$143.00,25,55,85,353,4,0,,t,5,0.34
158,347062,https://www.airbnb.com/rooms/347062,Residenza Oltrarno Guest House,1759485,Filippo,2012-02-16,"Florence, Tuscany, Italy",1,Isolotto Legnaia,43.77217,11.23438,Entire home/apt,10,3.0,$192.00,2,2,2,166,0,0,,t,1,0.12
159,347076,https://www.airbnb.com/rooms/347076,"""La Gare"", in the Heart of Florence",1759526,Andrea,2012-02-16,"Florence, Tuscany, Italy",1,Centro Storico,43.77661,11.25102,Entire home/apt,5,2.0,$119.00,0,0,0,238,0,0,,t,5,0.5
160,347729,https://www.airbnb.com/rooms/347729,LUXURY APARTMENT IN FLORENCE,731736,Felice,2011-06-22,"Florence, Tuscany, Italy",3,Rifredi,43.8026,11.2378,Entire home/apt,8,3.0,$290.00,0,1,23,298,0,0,,f,1,0.71
161,348183,https://www.airbnb.com/rooms/348183,Sprone 2b next to PONTE VECCHIO,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.76764,11.25023,Entire home/apt,6,2.0,$168.00,23,23,23,100,0,0,,t,125,0.03
162,351439,https://www.airbnb.com/rooms/351439,Palazzo Bardi XV Century,1780007,Roberta & Stefano,2012-02-20,"Montemurlo, Toscana, Italy",3,Centro Storico,43.76779,11.25987,Entire home/apt,4,1.0,$105.00,18,48,78,311,8,1,,f,3,1.24
